BASE;PRODCOD;CODLINHA;LINHA;DEPOSITO;PRODUTOREF;UNIT;MATERIAL;DISPONIVEL;CUSTOMEDIO;VALOR_DISP;DTSNAPSHOT;SEMANA
SBOEQUILIBRIUM;0060954;42;NUTRIEX PROF. EPI;EQ01 - Mercadoria própria;PROT SOLAR FPS 30 1/3 UVA 120ML NUTRIEX;UN;Mercadoria para Revenda;50,0;3,8310000000000004;191,55;2020-12-31 07:00:03.240;53
SBOEQUILIBRIUM;0060954;42;NUTRIEX PROF. EPI;EQ11 - Mercadoria própria - F01;PROT SOLAR FPS 30 1/3 UVA 120ML NUTRIEX;UN;Mercadoria para Revenda;110,0;4,348909;478,37999;2020-12-31 07:00:03.240;53
SBOEQUILIBRIUM;0060962;42;NUTRIEX PROF. EPI;DP-94 - Divergencia de inventario Equilibrium;PROT SOLAR FPS 60 1/3 UVA 120ML NUTRIEX;UN;Mercadoria para Revenda;150,0;5,368467;805,2700499999999;2020-12-31 07:00:03.240;53
SBOEQUILIBRIUM;0060962;42;NUTRIEX PROF. EPI;EQ01 - Mercadoria própria;PROT SOLAR FPS 60 1/3 UVA 120ML NUTRIEX;UN;Mercadoria para Revenda;200,0;5,7903;1158,06;2020-12-31 07:00:03.240;53
SBOEQUILIBRIUM;0060962;42;NUTRIEX PROF. EPI;EQ11 - Mercadoria própria - F01;PROT SOLAR FPS 60 1/3 UVA 120ML NUTRIEX;UN;Mercadoria para Revenda;117,0;6,506068;761,209956;2020-12-31 07:00:03.240;53
SBOEQUILIBRIUM;0060988;42;NUTRIEX PROF. EPI;EQ01 - Mercadoria própria;PROT SOLAR FPS 30 1/3 UVA C/ REP 120ML NUTRIEX;UN;Mercadoria para Revenda;100,0;4,3386;433,86;2020-12-31 07:00:03.240;53
SBOEQUILIBRIUM;0060988;42;NUTRIEX PROF. EPI;EQ11 - Mercadoria própria - F01;PROT SOLAR FPS 30 1/3 UVA C/ REP 120ML NUTRIEX;UN;Mercadoria para Revenda;112,0;4,872679;545,740048;2020-12-31 07:00:03.240;53
SBOEQUILIBRIUM;0060996;42;NUTRIEX PROF. EPI;EQ01 - Mercadoria própria;PROT SOLAR FPS 30 1/3 UVA 1L NUTRIEX;UN;Mercadoria para Revenda;1040,0;29,345019;30518,81976;2020-12-31 07:00:03.240;53
SBOEQUILIBRIUM;0060996;42;NUTRIEX PROF. EPI;EQ11 - Mercadoria própria - F01;PROT SOLAR FPS 30 1/3 UVA 1L NUTRIEX;UN;Mercadoria para Revenda;24,0;32,275833;774,6199919999998;2020-12-31 07:00:03.240;53
SBOEQUILIBRIUM;0061002;42;NUTRIEX PROF. EPI;EQ01 - Mercadoria própria;PROT SOLAR FPS 30 1/3 UVA 2L NUTRIEX;UN;Mercadoria para Revenda;704,0;57,331293;40361,230272;2020-12-31 07:00:03.240;53
SBOEQUILIBRIUM;0061010;42;NUTRIEX PROF. EPI;EQ01 - Mercadoria própria;PROT SOLAR FPS 30 1/3 UVA 4L NUTRIEX;UN;Mercadoria para Revenda;919,0;110,466866;101519,049854;2020-12-31 07:00:03.240;53
SBOEQUILIBRIUM;0061028;42;NUTRIEX PROF. EPI;EQ01 - Mercadoria própria;PROT SOLAR FPS 60 1/3 UVA 1L NUTRIEX;UN;Mercadoria para Revenda;1646,0;44,76336;73680,49055999998;2020-12-31 07:00:03.240;53
SBOEQUILIBRIUM;0061036;42;NUTRIEX PROF. EPI;EQ01 - Mercadoria própria;PROT SOLAR FPS 60 1/3 UVA 2L NUTRIEX;UN;Mercadoria para Revenda;928,0;89,350431;82917,199968;2020-12-31 07:00:03.240;53
SBOEQUILIBRIUM;0061044;42;NUTRIEX PROF. EPI;EQ01 - Mercadoria própria;PROT SOLAR FPS 60 1/3 UVA 4L NUTRIEX;UN;Mercadoria para Revenda;149,0;172,664295;25726,979955000006;2020-12-31 07:00:03.240;53
SBOEQUILIBRIUM;0061051;42;NUTRIEX PROF. EPI;DP-94 - Divergencia de inventario Equilibrium;PROT SOLAR FPS 30 1/3 UVA C/ REP 1L NUTRIEX;UN;Mercadoria para Revenda;16,0;25,519375;408,31;2020-12-31 07:00:03.240;53
SBOEQUILIBRIUM;0061051;42;NUTRIEX PROF. EPI;EQ01 - Mercadoria própria;PROT SOLAR FPS 30 1/3 UVA C/ REP 1L NUTRIEX;UN;Mercadoria para Revenda;717,0;34,624114;24825,489738;2020-12-31 07:00:03.240;53
SBOEQUILIBRIUM;0061069;42;NUTRIEX PROF. EPI;EQ01 - Mercadoria própria;PROT SOLAR FPS 30 1/3 UVA C/ REP 2L NUTRIEX;UN;Mercadoria para Revenda;815,0;63,966908;52133,03002;2020-12-31 07:00:03.240;53
SBOEQUILIBRIUM;0061077;42;NUTRIEX PROF. EPI;EQ01 - Mercadoria própria;PROT SOLAR FPS 30 1/3 UVA C/ REP 4L NUTRIEX;UN;Mercadoria para Revenda;337,0;118,028516;39775,609892;2020-12-31 07:00:03.240;53
SBOEQUILIBRIUM;0061085;42;NUTRIEX PROF. EPI;EQ01 - Mercadoria própria;PROT SOLAR FPS 30 1/3 UVA FACIAL 120ML NUTRIEX;UN;Mercadoria para Revenda;50,0;5,1688;258,44;2020-12-31 07:00:03.240;53
SBOEQUILIBRIUM;0061085;42;NUTRIEX PROF. EPI;EQ11 - Mercadoria própria - F01;PROT SOLAR FPS 30 1/3 UVA FACIAL 120ML NUTRIEX;UN;Mercadoria para Revenda;31,0;5,129032;158,999992;2020-12-31 07:00:03.240;53
SBOEQUILIBRIUM;0061093;42;NUTRIEX PROF. EPI;EQ01 - Mercadoria própria;PROT SOLAR FPS 60 1/3 UVA FACIAL 120ML NUTRIEX;UN;Mercadoria para Revenda;4454,0;8,387429;37357,608766;2020-12-31 07:00:03.240;53
SBOEQUILIBRIUM;0061093;42;NUTRIEX PROF. EPI;EQ11 - Mercadoria própria - F01;PROT SOLAR FPS 60 1/3 UVA FACIAL 120ML NUTRIEX;UN;Mercadoria para Revenda;74,0;9,235270000000002;683,40998;2020-12-31 07:00:03.240;53
SBOEQUILIBRIUM;0061218;48;SOLAR GOLD;EQ01 - Mercadoria própria;PROT SOLAR GOLD FPS 30 1/3 UVA FACIAL 50ML;UN;Mercadoria para Revenda;4380,0;3,5680089999999995;15627,87942;2020-12-31 07:00:03.240;53
SBOEQUILIBRIUM;0061234;48;SOLAR GOLD;DP-94 - Divergencia de inventario Equilibrium;PROT SOLAR GOLD FPS 30 1/3 UVA FACIAL TON 50ML;UN;Mercadoria para Revenda;6,0;4,67;28,02;2020-12-31 07:00:03.240;53
SBOEQUILIBRIUM;0061234;48;SOLAR GOLD;EQ01 - Mercadoria própria;PROT SOLAR GOLD FPS 30 1/3 UVA FACIAL TON 50ML;UN;Mercadoria para Revenda;3486,0;4,669584;16278,169824;2020-12-31 07:00:03.240;53
SBOEQUILIBRIUM;0061259;48;SOLAR GOLD;EQ01 - Mercadoria própria;PROT SOLAR GOLD FPS 60 1/3 UVA FACIAL 50ML;UN;Mercadoria para Revenda;2448,0;4,178554;10229,100192;2020-12-31 07:00:03.240;53
